"site"	"age"	"stdens"	"ba"	"stand_vol"	"harv_vol"	"mor_vol"	"spruce_dgv"	"birch_dgv"
1	5	2018.6	0.0834	0.6	0	0	1.35	0
1	10	1999.2	1.7468	4.5	0	0.01	3.8	0
1	15	1984.8	7.0915	22.5	0	0.03	7.18	0
1	20	1970.3	14.9834	66.8	0	0.15	10.32	0
1	25	1948.5	22.4206	126.6	0	0.64	12.73	0
1	30	1921.9	29.8288	201.2	0	1.44	14.86	0
1	35	1890.1	36.9272	145.9151	140.2849	2.74	16.77	0
1	40	842.8	25.4103	220.8	0	4.25	20.63	0
1	45	826.5	32.1513	302.2	0	3.77	23.46	0
1	50	816.2	38.4784	251.8151	134.5849	3.31	25.87	0
1	55	517.6	29.9826	318.8	0	6.96	29.48	5.64
1	60	536.6	34.7721	384.5	0	6.79	32.03	6.3
1	65	550.5	39.261	449.3	0	5.1	34.22	6.89
1	70	565.9	43.2437	328.0412	181.8588	6.55	36.13	7.43
1	75	340.9	30.5743	370	0	13.48	39.52	7.74
1	80	355.3	33.5367	412.2	0	10.31	41.84	8.12
1	85	367.5	36.5338	455.4	0	7.07	43.91	8.5
1	90	393.4	39.2495	495.1	0	8.46	45.77	8.66
1	95	414.1	41.652	530.9	0	9.9	47.46	8.87
1	100	427.7	43.4261	558.7	0	15.1	49	9.1
1	105	438	44.9265	582.6	0	16.93	50.44	9.34
1	110	445.4	46.2481	603.6	0	18.75	51.84	9.59
1	115	450.3	47.3875	621.6	0	20.6	53.21	9.83
1	120	453.1	48.3421	636.5	0	22.46	54.55	10.07
1	125	454	49.1103	648.4	0	24.32	55.85	10.31
6	5	2018.6	0.6841	1.9	0	0	0	2.9
6	10	1982.3	7.106	27.2	0	0.03	0	7.31
6	15	1833.9	10.9848	59.5	0	1.68	0	9.34
6	20	1758.1	14.8338	101.3	0	2.02	0	11.05
6	25	1717.5	18.5831	150.4	0	1.91	0	12.51
6	30	1683.5	22.0738	202	0	2.41	0	13.79
6	35	1650.7	25.2753	253.3	0	3.16	0	14.93
6	40	1617.9	28.1915	302.5	0	4.04	0	15.95
6	45	1584.3	30.8347	348.6	0	5.01	0	16.89
6	50	1549.4	33.2168	391	0	6.08	0	17.76
6	55	1535.9	35.3945	429.7	0	7.23	4.81	18.56
6	60	1516.8	37.3437	464.4	0	8.42	5.52	19.32
6	65	1493.1	39.0772	495.3	0	9.64	6.26	20.04
6	70	1465.7	40.6077	296.5835	225.9165	10.85	7.01	20.72
6	75	785.5	24.7935	320.4	0	3.11	7.87	22.19
6	80	796.5	26.5204	344	0	3.35	8.91	23.03
6	85	822.6	28.1494	365.8	0	3.59	9.36	23.8
6	90	857.5	29.6916	385.8	0	3.81	9.71	24.5
6	95	887.5	31.1398	404.3	0	4.02	10.19	25.15
6	100	912.8	32.4964	421.2	0	4.22	10.73	25.75
6	105	934.3	33.7659	436.7	0	4.4	11.29	26.3
6	110	952.5	35.0123	451.6	0	4.57	11.89	26.83
6	115	967.6	36.2361	465.8	0	4.73	12.51	27.35
6	120	980	37.4379	479.5	0	4.9	13.15	27.85
6	125	989.9	38.6163	492.6	0	5.08	13.79	28.33
