"cutw"	"vol"
4.6	62.6
3.6	40.5
2.1	41.4
0.3	35.05
0.1	44.1
0.8	61.1
7.3	58.7
0.6	4.75
14.2	63.7
3.2	40
0.9	27.3
7.7	70.4
0.6	37.35
0.9	19.85
2.1	24.95
1.3	38.4
1.4	55.3
0.5	22.45
2.2	38.15
6	22.9
5.3	34
0.4	68.6
4.1	46.3
1.6	41.6
5.1	29.5
3.1	56.05
1.1	39.05
0.6	25.65
0.7	26.85
5.1	35.05
0.8	39.85
2.3	51.15
1.3	50.05
1.2	42.85
3.6	38.35
1.2	26.45
10.7	66.25
10.4	68.85
1.8	54.15
2.2	18.95
0.4	36.75
7.3	72.85
2.5	39.05
0.5	26.85
6.2	41.05
1.9	27.95
0.4	21.35
4.9	25.85
5.8	82.95
3.2	35.75
1.2	40.95
5.6	45.55
2.4	11.35
0.6	4.14
1.5	41.35
4.8	51.95
1	13.75
1.2	36.25
1.1	37.15
6.5	58.95
1.2	40.55
0.7	34.35
7.5	57.25
0.7	40.65
1.8	32.95
3.8	45.45
5.7	56.45
0.9	17.85
0.7	37.75
4.5	40.75
6.5	46.65
0.7	9.95
1.5	26.05
0.8	22.05
6.6	45.55
1	38.75
2.7	42.5
12.2	64.5
0.8	31.3
1.3	32.45
7.6	53.3
0.9	26.95
0.7	20.55
6.1	47.5
1.9	41
2	46.2
1.2	35.6
0.8	36.15
6.8	49.5
0.5	43.2
7.2	49.8
1.9	17.75
2.4	8.5
1.3	24.6
3.2	52.7
7.7	49.1
1.3	32.85
6.3	75.85
6.5	70.75
0.6	34
5.6	68.6
2.6	46.3
1.1	41.6
2.5	45.5
4	29.5
5.2	36.35
4.7	45.55
1.2	39.65
1.2	35.25
1	36.05
6.9	57.95
0.9	32.85
1.6	10.85
6.9	52.35
13.7	72.85
0.7	17.25
0.4	23.45
2.2	52.15
4.1	62.55
1.3	24.25
6.5	59.35
4.4	56.55
11.5	73.25
4	62.55
0.7	38.05
1.9	55.35
1.4	50.75
1.9	45.55
0.5	33.15
0.7	33.95
7.3	57.45
0.9	38.65
2.4	30.85
8.5	57.05
2.1	46.55
2.6	51.85
1.9	60.15
3.1	42.95
0.4	31.35
6.7	65.15
2.3	47.25
0.5	35.45
0.6	24.45
1.6	55.75
5.3	48.65
4	49.65
2.7	53.25
1.7	38.95
9.1	48.95
0.6	37.45
0.9	17.35
5	56.55
2.1	43.55
1.8	39.45
7.5	55.45
0.6	30.15
2.3	44.55
0.9	22.55
3.9	44.35
1.9	42.65
5.3	59.05
3.3	29.15
1	31.75
2.1	30.65
0.6	25.75
3	25.65
6.8	58.25
0.9	48.75
1.9	52.45
4.8	50.35
0.4	29.85
1.1	43.75
3	39.95
1.9	34.55
6.3	47.55
0.5	29.05
1.6	33.85
6.4	33.25
0.5	38.25
1.6	31.3
1	49.1
0.5	28.35
5.1	59.7
6.6	42.8
12.8	83
1.3	37.4
4.6	59.1
5.8	75.8
10.2	80.4
1.5	13.55
0.7	35
6.8	67.1
3.9	48.8
12.1	67.9
0.7	43
6.3	55.2
3.7	46.9
1.1	35.8
2.1	42.95
1	36.9
1.7	58.85
0.8	40.1
6.2	64.8
10.2	61.2
3.5	52.8
4.8	38.85
1.2	54
1.3	45.95
5.1	70.15
11.6	85.35
6.8	80.85
1.3	41.45
6	67.35
3.8	47.95
1.4	57.45
0.7	5.83
13.2	95.15
6.6	63.45
1.4	52.75
4.7	50.15
0.8	35.75
7	62.95
6.7	61.35
6.3	52.75
1.6	35.35
1.2	41.35
8.8	63.85
5.5	65.85
1.9	48.85
0.6	24.65
4.6	56.95
6.9	51.45
0.7	24.55
9.7	65.65
0.7	33.35
1.6	37.05
8.5	38.85
2.3	48.75
0.6	38.65
4.4	58.85
10	68.65
0.7	35.85
11.1	66.35
2.9	48.65
1.6	28.85
0.7	38.35
5.7	50.05
0.5	11.95
0.7	35.85
4.4	53.15
0.9	42.95
1.5	43.65
0.5	14.75
13.1	62.95
0.4	43.55
1.3	46.35
14.4	68.75
4.5	63.75
4.3	56.55
4.7	64.85
0.7	53.65
0.8	49.85
1.4	40.85
8.6	38.15
0.7	28.75
0.5	22.55
2.6	55.85
1.7	47.65
7.2	53.25
0.7	16.45
6.6	60.15
5.9	66.75
5.8	18.35
1.1	43.15
7.7	63.85
0.5	26.05
1.1	45.85
4.7	52.35
1	29.95
8	43.45
4.2	58.15
