"height"	"dbh"
14	6
33	32
19	11
22	17
34	33
34	29
21	17
34	31
36	31
27	23
28	25
35	34
17	9
33	26
35	30
31	24
26	25
14	6
29	20
21	15
25	24
34	27
16	7
32	29
18	10
22	15
21	15
29	21
16	10
29	19
19	11
30	25
20	13
21	13
28	24
28	23
25	19
14	5
16	10
25	20
23	17
33	30
25	19
25	14
29	28
28	20
36	33
20	15
16	9
22	17
31	27
23	16
35	29
17	9
27	22
34	31
22	14
31	26
30	24
13	4
34	32
32	30
17	9
41	39
21	14
32	27
39	34
14	4
25	20
15	9
14	6
