"plot"	"block"	"treenr"	"treatment"	"dbh1"	"dbh2"	"height"	"dead"
1	1	1	"Control"	110	112	NA	NA
1	1	2	"Control"	101	102	NA	NA
1	1	3	"Control"	109	112	NA	NA
1	1	4	"Control"	81	85	NA	NA
1	1	5	"Control"	115	117	NA	NA
1	1	6	"Control"	100	106	NA	NA
1	1	7	"Control"	95	91	NA	NA
1	1	8	"Control"	98	96	NA	NA
1	1	9	"Control"	107	107	NA	NA
1	1	10	"Control"	79	83	NA	NA
1	1	11	"Control"	88	93	NA	NA
1	1	12	"Control"	52	57	NA	NA
1	1	13	"Control"	78	81	NA	NA
1	1	14	"Control"	113	113	NA	NA
1	1	15	"Control"	104	103	NA	NA
1	1	15	"Control"	85	87	NA	NA
1	1	14	"Control"	86	86	NA	NA
1	1	13	"Control"	104	102	NA	NA
1	1	12	"Control"	99	98	NA	1
1	1	11	"Control"	104	104	NA	NA
1	1	10	"Control"	114	110	104	NA
1	1	9	"Control"	108	107	NA	NA
1	1	8	"Control"	104	104	NA	NA
1	1	7	"Control"	81	80	NA	NA
1	1	6	"Control"	82	80	NA	NA
1	1	5	"Control"	62	63	NA	NA
1	1	4	"Control"	93	91	NA	NA
1	1	3	"Control"	NA	NA	NA	1
1	1	2	"Control"	110	109	NA	NA
1	1	1	"Control"	68	68	NA	NA
1	1	1	"Control"	33	32	NA	NA
1	1	2	"Control"	96	96	NA	NA
1	1	3	"Control"	87	72	NA	NA
1	1	4	"Control"	106	103	NA	NA
1	1	5	"Control"	84	86	NA	NA
1	1	6	"Control"	115	110	NA	NA
1	1	7	"Control"	89	87	NA	NA
1	1	8	"Control"	92	99	NA	NA
1	1	9	"Control"	97	97	NA	NA
1	1	10	"Control"	94	99	NA	NA
1	1	11	"Control"	107	106	NA	NA
1	1	12	"Control"	108	112	NA	NA
1	1	13	"Control"	82	84	NA	NA
1	1	14	"Control"	32	34	NA	NA
1	1	15	"Control"	111	115	NA	NA
1	1	15	"Control"	81	88	NA	NA
1	1	14	"Control"	101	103	NA	NA
1	1	13	"Control"	92	91	NA	NA
1	1	12	"Control"	103	107	NA	NA
1	1	11	"Control"	27	27	NA	NA
1	1	10	"Control"	108	113	NA	NA
1	1	9	"Control"	109	99	NA	NA
1	1	8	"Control"	94	94	NA	NA
1	1	7	"Control"	91	93	NA	NA
1	1	6	"Control"	94	92	NA	NA
1	1	5	"Control"	106	104	NA	NA
1	1	4	"Control"	131	131	114	NA
1	1	3	"Control"	NA	NA	NA	1
1	1	2	"Control"	96	96	NA	NA
1	1	1	"Control"	56	54	NA	NA
1	1	1	"Control"	106	104	NA	NA
1	1	2	"Control"	68	66	NA	NA
1	1	3	"Control"	58	68	NA	NA
1	1	4	"Control"	68	73	NA	NA
1	1	5	"Control"	82	83	83	NA
1	1	6	"Control"	83	86	NA	NA
1	1	7	"Control"	96	99	NA	NA
1	1	8	"Control"	76	74	NA	NA
1	1	9	"Control"	96	99	NA	NA
1	1	10	"Control"	107	112	NA	NA
1	1	11	"Control"	58	58	NA	NA
1	1	12	"Control"	67	72	NA	NA
1	1	13	"Control"	109	110	NA	NA
1	1	14	"Control"	111	108	NA	NA
1	1	15	"Control"	113	112	NA	NA
1	1	15	"Control"	73	71	NA	NA
1	1	14	"Control"	70	71	NA	NA
1	1	13	"Control"	104	108	NA	NA
1	1	12	"Control"	82	83	NA	NA
1	1	11	"Control"	79	82	NA	NA
1	1	10	"Control"	81	86	NA	NA
1	1	9	"Control"	83	84	NA	NA
1	1	8	"Control"	65	65	NA	NA
1	1	7	"Control"	78	77	NA	NA
1	1	6	"Control"	92	94	92	NA
1	1	5	"Control"	89	86	NA	NA
1	1	4	"Control"	90	90	NA	NA
1	1	3	"Control"	76	77	NA	NA
1	1	2	"Control"	80	89	NA	NA
1	1	1	"Control"	85	87	NA	NA
1	1	1	"Control"	112	113	NA	NA
1	1	2	"Control"	94	93	NA	NA
1	1	3	"Control"	88	91	NA	NA
1	1	4	"Control"	82	82	NA	NA
1	1	5	"Control"	87	84	NA	NA
1	1	6	"Control"	98	99	NA	NA
1	1	7	"Control"	107	106	NA	NA
1	1	8	"Control"	NA	NA	NA	1
1	1	9	"Control"	103	107	NA	NA
1	1	10	"Control"	90	89	NA	NA
1	1	11	"Control"	88	91	NA	NA
1	1	12	"Control"	99	99	NA	NA
1	1	13	"Control"	110	109	NA	NA
1	1	14	"Control"	63	68	NA	NA
1	1	15	"Control"	69	68	NA	NA
1	1	15	"Control"	79	79	NA	NA
1	1	14	"Control"	94	94	NA	NA
1	1	13	"Control"	87	83	NA	NA
1	1	12	"Control"	108	115	104	NA
1	1	11	"Control"	84	85	NA	NA
1	1	10	"Control"	67	73	NA	NA
1	1	9	"Control"	110	115	NA	NA
1	1	8	"Control"	97	92	NA	NA
1	1	7	"Control"	86	86	NA	NA
1	1	6	"Control"	135	136	100	NA
1	1	5	"Control"	75	74	NA	NA
1	1	4	"Control"	74	76	NA	NA
1	1	3	"Control"	83	86	NA	NA
1	1	2	"Control"	78	77	NA	NA
1	1	1	"Control"	123	125	95	NA
1	1	1	"Control"	99	106	NA	NA
1	1	2	"Control"	90	95	NA	NA
1	1	3	"Control"	102	98	NA	NA
1	1	4	"Control"	121	115	NA	NA
1	1	5	"Control"	105	103	NA	NA
1	1	6	"Control"	88	86	NA	NA
1	1	7	"Control"	93	97	NA	NA
1	1	8	"Control"	98	94	NA	NA
1	1	9	"Control"	90	87	NA	NA
1	1	10	"Control"	84	86	NA	NA
1	1	11	"Control"	95	97	NA	NA
1	1	12	"Control"	58	59	NA	NA
1	1	13	"Control"	104	103	NA	NA
1	1	14	"Control"	83	83	NA	NA
1	1	15	"Control"	84	85	NA	NA
1	1	15	"Control"	110	110	NA	NA
1	1	14	"Control"	114	113	NA	NA
1	1	13	"Control"	79	82	NA	NA
1	1	12	"Control"	78	77	NA	NA
1	1	11	"Control"	91	90	NA	NA
1	1	10	"Control"	131	130	111	NA
1	1	9	"Control"	116	114	NA	NA
1	1	8	"Control"	101	96	NA	NA
1	1	7	"Control"	77	78	NA	NA
1	1	6	"Control"	92	93	NA	NA
1	1	5	"Control"	83	86	NA	NA
1	1	4	"Control"	NA	NA	NA	1
1	1	3	"Control"	91	93	NA	NA
1	1	2	"Control"	95	96	NA	NA
1	1	1	"Control"	108	106	NA	NA
1	1	1	"Control"	78	82	NA	NA
1	1	2	"Control"	103	104	NA	NA
1	1	3	"Control"	99	100	NA	NA
1	1	4	"Control"	100	100	NA	NA
1	1	5	"Control"	NA	NA	NA	1
1	1	6	"Control"	108	116	NA	NA
1	1	7	"Control"	73	82	NA	NA
1	1	8	"Control"	76	78	NA	NA
1	1	9	"Control"	100	105	84	NA
1	1	10	"Control"	89	89	NA	NA
1	1	11	"Control"	115	111	NA	NA
1	1	12	"Control"	110	107	NA	NA
1	1	13	"Control"	86	89	NA	NA
1	1	14	"Control"	97	94	NA	NA
1	1	15	"Control"	90	93	NA	NA
1	1	15	"Control"	130	132	NA	NA
1	1	14	"Control"	87	87	NA	NA
1	1	13	"Control"	111	116	NA	NA
1	1	12	"Control"	82	88	NA	NA
1	1	11	"Control"	62	62	NA	NA
1	1	10	"Control"	106	115	NA	NA
1	1	9	"Control"	99	102	NA	NA
1	1	8	"Control"	96	93	NA	NA
1	1	7	"Control"	86	88	NA	NA
1	1	6	"Control"	92	93	NA	NA
1	1	5	"Control"	94	92	NA	NA
1	1	4	"Control"	108	107	NA	NA
1	1	3	"Control"	77	79	NA	NA
1	1	2	"Control"	70	69	NA	NA
1	1	1	"Control"	71	73	NA	NA
1	1	1	"Control"	98	95	NA	NA
1	1	2	"Control"	68	69	NA	NA
1	1	3	"Control"	81	78	NA	NA
1	1	4	"Control"	98	98	NA	NA
1	1	5	"Control"	80	78	NA	NA
1	1	6	"Control"	103	104	NA	NA
1	1	7	"Control"	99	104	NA	NA
1	1	8	"Control"	84	82	NA	NA
1	1	9	"Control"	66	64	NA	NA
1	1	10	"Control"	NA	NA	NA	1
1	1	11	"Control"	87	87	NA	NA
1	1	12	"Control"	74	73	94	NA
1	1	13	"Control"	87	88	NA	NA
1	1	14	"Control"	88	87	NA	NA
1	1	15	"Control"	95	96	NA	NA
1	1	15	"Control"	113	122	NA	NA
1	1	14	"Control"	NA	NA	NA	1
1	1	13	"Control"	102	102	NA	NA
1	1	12	"Control"	78	80	NA	NA
1	1	11	"Control"	115	109	NA	NA
1	1	10	"Control"	94	89	NA	NA
1	1	9	"Control"	112	107	NA	NA
1	1	8	"Control"	89	93	NA	NA
1	1	7	"Control"	90	95	NA	NA
1	1	6	"Control"	78	80	NA	NA
1	1	5	"Control"	76	76	NA	NA
1	1	4	"Control"	84	84	NA	NA
1	1	3	"Control"	84	83	NA	NA
1	1	2	"Control"	NA	NA	NA	1
1	1	1	"Control"	NA	NA	NA	1
1	1	1	"Control"	114	114	NA	NA
1	1	2	"Control"	89	89	NA	NA
1	1	3	"Control"	99	104	NA	NA
1	1	4	"Control"	90	88	NA	NA
1	1	5	"Control"	80	79	NA	NA
1	1	6	"Control"	103	102	NA	NA
1	1	7	"Control"	114	112	NA	NA
1	1	8	"Control"	72	71	NA	NA
1	1	9	"Control"	106	111	NA	NA
1	1	10	"Control"	63	66	NA	NA
1	1	11	"Control"	76	80	NA	NA
1	1	12	"Control"	93	96	NA	NA
1	1	13	"Control"	91	99	NA	NA
1	1	14	"Control"	110	108	NA	NA
1	1	15	"Control"	128	124	NA	NA
2	1	1	"Deep"	55	57	NA	NA
2	1	2	"Deep"	NA	NA	NA	1
2	1	3	"Deep"	82	82	NA	NA
2	1	4	"Deep"	97	101	99	NA
2	1	5	"Deep"	NA	NA	NA	1
2	1	6	"Deep"	77	81	NA	NA
2	1	7	"Deep"	77	77	NA	NA
2	1	8	"Deep"	97	106	NA	NA
2	1	9	"Deep"	124	121	NA	NA
2	1	10	"Deep"	132	133	NA	NA
2	1	11	"Deep"	79	83	NA	NA
2	1	12	"Deep"	61	63	NA	NA
2	1	13	"Deep"	101	102	NA	NA
2	1	14	"Deep"	68	71	NA	NA
2	1	15	"Deep"	125	120	NA	NA
2	1	15	"Deep"	107	109	NA	NA
2	1	14	"Deep"	121	126	NA	NA
2	1	13	"Deep"	111	111	NA	NA
2	1	12	"Deep"	121	123	NA	NA
2	1	11	"Deep"	120	119	NA	NA
2	1	10	"Deep"	90	90	NA	NA
2	1	9	"Deep"	89	94	NA	NA
2	1	8	"Deep"	104	105	NA	NA
2	1	7	"Deep"	126	123	NA	NA
2	1	6	"Deep"	140	139	NA	NA
2	1	5	"Deep"	118	117	NA	NA
2	1	4	"Deep"	118	119	NA	NA
2	1	3	"Deep"	123	122	NA	NA
2	1	2	"Deep"	NA	NA	NA	1
2	1	1	"Deep"	112	111	NA	NA
2	1	1	"Deep"	89	84	NA	NA
2	1	2	"Deep"	140	137	107	NA
2	1	3	"Deep"	93	92	NA	NA
2	1	4	"Deep"	102	102	NA	NA
2	1	5	"Deep"	98	98	NA	NA
2	1	6	"Deep"	116	117	NA	NA
2	1	7	"Deep"	89	91	NA	NA
2	1	8	"Deep"	113	115	NA	NA
2	1	9	"Deep"	98	101	NA	NA
2	1	10	"Deep"	120	121	NA	NA
2	1	11	"Deep"	91	90	NA	NA
2	1	12	"Deep"	96	105	NA	NA
2	1	13	"Deep"	94	94	NA	NA
2	1	14	"Deep"	88	88	NA	NA
2	1	15	"Deep"	153	129	NA	NA
2	1	15	"Deep"	NA	NA	NA	1
2	1	14	"Deep"	119	120	NA	NA
2	1	13	"Deep"	122	123	NA	NA
2	1	12	"Deep"	110	112	NA	NA
2	1	11	"Deep"	98	101	NA	NA
2	1	10	"Deep"	71	70	NA	NA
2	1	9	"Deep"	130	136	NA	NA
2	1	8	"Deep"	91	93	NA	NA
2	1	7	"Deep"	116	114	NA	NA
2	1	6	"Deep"	108	112	NA	NA
2	1	5	"Deep"	135	132	NA	NA
2	1	4	"Deep"	109	110	115	NA
2	1	3	"Deep"	49	48	NA	NA
2	1	2	"Deep"	110	112	NA	NA
2	1	1	"Deep"	97	98	NA	NA
2	1	1	"Deep"	97	92	NA	NA
2	1	2	"Deep"	111	111	NA	NA
2	1	3	"Deep"	110	108	NA	NA
2	1	4	"Deep"	119	117	NA	NA
2	1	5	"Deep"	108	108	NA	NA
2	1	6	"Deep"	121	122	NA	NA
2	1	7	"Deep"	86	86	NA	NA
2	1	8	"Deep"	96	97	NA	NA
2	1	9	"Deep"	114	112	NA	NA
2	1	10	"Deep"	131	124	NA	NA
2	1	11	"Deep"	102	99	NA	NA
2	1	12	"Deep"	116	121	NA	NA
2	1	13	"Deep"	116	113	NA	NA
2	1	14	"Deep"	102	102	NA	NA
2	1	15	"Deep"	112	109	NA	NA
2	1	15	"Deep"	101	105	NA	NA
2	1	14	"Deep"	138	134	128	NA
2	1	13	"Deep"	109	114	NA	NA
2	1	12	"Deep"	124	129	NA	NA
2	1	11	"Deep"	102	104	NA	NA
2	1	10	"Deep"	51	47	NA	NA
2	1	9	"Deep"	112	118	NA	NA
2	1	8	"Deep"	96	103	NA	NA
2	1	7	"Deep"	124	124	NA	NA
2	1	6	"Deep"	110	114	NA	NA
2	1	5	"Deep"	90	87	NA	NA
2	1	4	"Deep"	92	91	NA	NA
2	1	3	"Deep"	103	104	NA	NA
2	1	2	"Deep"	120	119	NA	NA
2	1	1	"Deep"	105	104	NA	NA
2	1	1	"Deep"	112	121	NA	NA
2	1	2	"Deep"	107	108	NA	NA
2	1	3	"Deep"	86	86	NA	NA
2	1	4	"Deep"	119	119	NA	NA
2	1	5	"Deep"	101	105	NA	NA
2	1	6	"Deep"	98	99	NA	NA
2	1	7	"Deep"	105	109	NA	NA
2	1	8	"Deep"	136	142	NA	NA
2	1	9	"Deep"	97	102	NA	NA
2	1	10	"Deep"	116	117	NA	NA
2	1	11	"Deep"	124	125	NA	NA
2	1	12	"Deep"	137	139	NA	NA
2	1	13	"Deep"	143	139	NA	NA
2	1	14	"Deep"	122	127	NA	NA
2	1	15	"Deep"	107	107	NA	NA
2	1	15	"Deep"	NA	NA	NA	1
2	1	14	"Deep"	125	129	NA	NA
2	1	13	"Deep"	55	57	NA	NA
2	1	12	"Deep"	114	119	NA	NA
2	1	11	"Deep"	101	101	NA	NA
2	1	10	"Deep"	115	119	NA	NA
2	1	9	"Deep"	98	93	NA	NA
2	1	8	"Deep"	107	108	NA	NA
2	1	7	"Deep"	115	112	NA	NA
2	1	6	"Deep"	122	126	NA	NA
2	1	5	"Deep"	114	115	NA	NA
2	1	4	"Deep"	117	117	NA	NA
2	1	3	"Deep"	101	98	NA	NA
2	1	2	"Deep"	100	104	NA	NA
2	1	1	"Deep"	106	110	NA	NA
2	1	1	"Deep"	95	92	NA	NA
2	1	2	"Deep"	128	133	NA	NA
2	1	3	"Deep"	114	114	NA	NA
2	1	4	"Deep"	120	116	NA	NA
2	1	5	"Deep"	122	125	NA	NA
2	1	6	"Deep"	129	131	NA	NA
2	1	7	"Deep"	99	100	NA	NA
2	1	8	"Deep"	109	102	NA	NA
2	1	9	"Deep"	102	101	NA	NA
2	1	10	"Deep"	129	126	NA	NA
2	1	11	"Deep"	123	117	NA	NA
2	1	12	"Deep"	118	112	NA	NA
2	1	13	"Deep"	112	121	119	NA
2	1	14	"Deep"	116	122	NA	NA
2	1	15	"Deep"	102	102	NA	NA
2	1	15	"Deep"	106	107	NA	NA
2	1	14	"Deep"	120	112	NA	NA
2	1	13	"Deep"	142	140	NA	NA
2	1	12	"Deep"	96	95	NA	NA
2	1	11	"Deep"	103	100	NA	NA
2	1	10	"Deep"	118	114	NA	NA
2	1	9	"Deep"	106	104	NA	NA
2	1	8	"Deep"	70	67	NA	NA
2	1	7	"Deep"	129	128	NA	NA
2	1	6	"Deep"	104	100	NA	NA
2	1	5	"Deep"	115	116	NA	NA
2	1	4	"Deep"	107	109	NA	NA
2	1	3	"Deep"	91	94	NA	NA
2	1	2	"Deep"	127	139	NA	NA
2	1	1	"Deep"	97	92	NA	NA
2	1	1	"Deep"	115	116	NA	NA
2	1	2	"Deep"	122	123	NA	NA
2	1	3	"Deep"	115	117	NA	NA
2	1	4	"Deep"	107	110	NA	NA
2	1	5	"Deep"	106	106	NA	NA
2	1	6	"Deep"	140	136	NA	NA
2	1	7	"Deep"	115	97	NA	NA
2	1	8	"Deep"	108	105	NA	NA
2	1	9	"Deep"	112	110	NA	NA
2	1	10	"Deep"	87	84	87	NA
2	1	11	"Deep"	129	132	112	NA
2	1	12	"Deep"	128	129	NA	NA
2	1	13	"Deep"	115	112	NA	NA
2	1	14	"Deep"	102	104	NA	NA
2	1	15	"Deep"	131	135	NA	NA
2	1	15	"Deep"	118	122	NA	NA
2	1	14	"Deep"	111	112	NA	NA
2	1	13	"Deep"	89	92	NA	NA
2	1	12	"Deep"	150	154	133	NA
2	1	11	"Deep"	119	121	NA	NA
2	1	10	"Deep"	120	141	NA	NA
2	1	9	"Deep"	116	117	NA	NA
2	1	8	"Deep"	119	112	NA	NA
2	1	7	"Deep"	116	114	NA	NA
2	1	6	"Deep"	125	124	NA	NA
2	1	5	"Deep"	88	86	NA	NA
2	1	4	"Deep"	112	112	NA	NA
2	1	3	"Deep"	104	105	NA	NA
2	1	2	"Deep"	126	122	118	NA
2	1	1	"Deep"	106	108	NA	NA
2	1	1	"Deep"	107	108	NA	NA
2	1	2	"Deep"	121	120	NA	NA
2	1	3	"Deep"	96	102	NA	NA
2	1	4	"Deep"	112	114	NA	NA
2	1	5	"Deep"	109	110	NA	NA
2	1	6	"Deep"	118	117	NA	NA
2	1	7	"Deep"	90	91	NA	NA
2	1	8	"Deep"	127	128	NA	NA
2	1	9	"Deep"	106	102	NA	NA
2	1	10	"Deep"	94	92	NA	NA
2	1	11	"Deep"	101	105	NA	NA
2	1	12	"Deep"	112	114	NA	NA
2	1	13	"Deep"	122	120	NA	NA
2	1	14	"Deep"	120	108	NA	NA
2	1	15	"Deep"	136	136	NA	NA
2	1	15	"Deep"	124	129	NA	NA
2	1	14	"Deep"	115	120	NA	NA
2	1	13	"Deep"	102	101	NA	NA
2	1	12	"Deep"	102	104	NA	NA
2	1	11	"Deep"	131	129	NA	NA
2	1	10	"Deep"	132	136	NA	NA
2	1	9	"Deep"	64	62	NA	NA
2	1	8	"Deep"	119	122	NA	NA
2	1	7	"Deep"	84	86	NA	NA
2	1	6	"Deep"	96	95	NA	NA
2	1	5	"Deep"	105	105	NA	NA
2	1	4	"Deep"	99	99	NA	NA
2	1	3	"Deep"	99	97	NA	NA
2	1	2	"Deep"	96	94	95	NA
2	1	1	"Deep"	129	126	NA	NA
2	1	1	"Deep"	126	124	NA	NA
2	1	2	"Deep"	135	131	NA	NA
2	1	3	"Deep"	134	132	NA	NA
2	1	4	"Deep"	107	102	NA	NA
2	1	5	"Deep"	108	106	NA	NA
2	1	6	"Deep"	130	131	NA	NA
2	1	7	"Deep"	105	105	NA	NA
2	1	8	"Deep"	134	134	NA	NA
2	1	9	"Deep"	122	125	NA	NA
2	1	10	"Deep"	124	117	NA	NA
2	1	11	"Deep"	119	117	NA	NA
2	1	12	"Deep"	112	115	NA	NA
2	1	13	"Deep"	105	108	NA	NA
2	1	14	"Deep"	119	125	NA	NA
2	1	15	"Deep"	NA	NA	NA	1
3	2	1	"Control"	117	119	NA	NA
3	2	2	"Control"	85	84	NA	NA
3	2	3	"Control"	95	98	NA	NA
3	2	4	"Control"	120	129	NA	NA
3	2	5	"Control"	104	99	NA	NA
3	2	6	"Control"	133	126	NA	NA
3	2	7	"Control"	100	100	NA	NA
3	2	8	"Control"	NA	NA	NA	1
3	2	9	"Control"	87	90	NA	NA
3	2	10	"Control"	85	80	NA	NA
3	2	11	"Control"	82	82	NA	NA
3	2	12	"Control"	112	111	93	NA
3	2	13	"Control"	90	89	NA	NA
3	2	14	"Control"	112	110	NA	NA
3	2	15	"Control"	88	86	NA	NA
3	2	15	"Control"	89	90	NA	NA
3	2	14	"Control"	78	92	NA	NA
3	2	13	"Control"	92	94	NA	NA
3	2	12	"Control"	71	69	NA	NA
3	2	11	"Control"	89	90	NA	NA
3	2	10	"Control"	102	105	NA	NA
3	2	9	"Control"	116	119	NA	NA
3	2	8	"Control"	105	105	NA	NA
3	2	7	"Control"	102	100	NA	NA
3	2	6	"Control"	105	104	NA	NA
3	2	5	"Control"	39	40	NA	NA
3	2	4	"Control"	69	68	NA	NA
3	2	3	"Control"	NA	NA	NA	1
3	2	2	"Control"	87	89	NA	NA
3	2	1	"Control"	81	78	NA	NA
3	2	1	"Control"	92	91	NA	NA
3	2	2	"Control"	85	88	NA	NA
3	2	3	"Control"	86	88	NA	NA
3	2	4	"Control"	79	76	NA	NA
3	2	5	"Control"	84	81	NA	NA
3	2	6	"Control"	96	98	NA	NA
3	2	7	"Control"	69	68	NA	NA
3	2	8	"Control"	76	75	NA	NA
3	2	9	"Control"	98	100	NA	NA
3	2	10	"Control"	69	66	NA	NA
3	2	11	"Control"	82	84	NA	NA
3	2	12	"Control"	95	96	NA	NA
3	2	13	"Control"	105	104	NA	NA
3	2	14	"Control"	104	104	101	NA
3	2	15	"Control"	92	96	NA	NA
3	2	15	"Control"	NA	NA	NA	1
3	2	14	"Control"	60	61	NA	NA
3	2	13	"Control"	101	109	NA	NA
3	2	12	"Control"	55	57	NA	NA
3	2	11	"Control"	84	86	NA	NA
3	2	10	"Control"	90	91	NA	NA
3	2	9	"Control"	94	97	NA	NA
3	2	8	"Control"	67	66	NA	NA
3	2	7	"Control"	97	100	NA	NA
3	2	6	"Control"	89	87	84	NA
3	2	5	"Control"	74	74	NA	NA
3	2	4	"Control"	94	91	NA	NA
3	2	3	"Control"	87	85	NA	NA
3	2	2	"Control"	116	120	NA	NA
3	2	1	"Control"	94	97	NA	NA
3	2	1	"Control"	84	82	NA	NA
3	2	2	"Control"	105	109	NA	NA
3	2	3	"Control"	NA	NA	NA	1
3	2	4	"Control"	67	72	NA	NA
3	2	5	"Control"	54	55	NA	NA
3	2	6	"Control"	70	70	NA	NA
3	2	7	"Control"	92	94	NA	NA
3	2	8	"Control"	77	78	NA	NA
3	2	9	"Control"	110	109	NA	NA
3	2	10	"Control"	63	70	NA	NA
3	2	11	"Control"	89	88	NA	NA
3	2	12	"Control"	115	115	NA	NA
3	2	13	"Control"	90	92	NA	NA
3	2	14	"Control"	72	74	NA	NA
3	2	15	"Control"	105	107	NA	NA
3	2	15	"Control"	102	102	NA	NA
3	2	14	"Control"	85	84	NA	NA
3	2	13	"Control"	84	86	NA	NA
3	2	12	"Control"	72	72	NA	NA
