"block"	"revision"	"treatment"	"volume"	"CAI"	"domheight"	"age"
1523	1	"C"	11.266667	0	5.766667	20
1523	1	"F1"	8.066667	0	5.366667	20
1523	1	"F2"	8.133333	0	5	20
1523	1	"F3"	7.533333	0	5.2	20
1523	4	"C"	28.833333	6.433333	7.833333	25
1523	4	"F1"	43.133333	13.7	8.533333	25
1523	4	"F2"	40.766667	13.366667	8.333333	25
1523	4	"F3"	36.833333	11.133333	8.066667	25
1523	5	"C"	56.166667	5.566667	10	30
1523	5	"F1"	128.7	17.166667	11.333333	30
1523	5	"F2"	115.666667	14.966667	11.466667	30
1523	5	"F3"	95.666667	11.8	10.933333	30
1523	6	"C"	99.466667	9.533333	12.833333	35
1523	6	"F1"	259.766667	28.566667	15.4	35
1523	6	"F2"	237.9	24.5	15.233333	35
1523	6	"F3"	210.433333	22.966667	14.833333	35
1524	1	"C"	9.466667	0	0	20
1524	1	"F1"	7.9	0	0	20
1524	1	"F2"	11.466667	0	0	20
1524	1	"F3"	7.533333	0	0	20
1524	4	"C"	29.7	4.7	8.733333	25
1524	4	"F1"	52.933333	13.133333	9.433333	25
1524	4	"F2"	62.5	13.9	9.9	25
1524	4	"F3"	46.5	11.966667	9.433333	25
1524	5	"C"	70.366667	8.166667	11.333333	30
1524	5	"F1"	156.2	21.066667	13.066667	30
1524	5	"F2"	158.033333	19.333333	13.2	30
1524	5	"F3"	114.7	13.633333	11.666667	30
1524	6	"C"	130.233333	12.033333	14.133333	35
1524	6	"F1"	261.866667	22.333333	16.5	35
1524	6	"F2"	274.8	24.3	16.866667	35
1524	6	"F3"	220.1	21.333333	15.533333	35
1525	1	"C"	3.233333	0	0	20
1525	1	"F1"	3.9	0	0	20
1525	1	"F2"	4.133333	0	0	20
1525	1	"F3"	2.933333	0	0	20
1525	4	"C"	27.066667	8.433333	8.333333	25
1525	4	"F1"	45.766667	14.7	8.6	25
1525	4	"F2"	55.166667	17.5	8.666667	25
1525	4	"F3"	30.8	9.5	8.533333	25
1525	5	"C"	84.8	11.566667	11.533333	30
1525	5	"F1"	145.266667	20	12.366667	30
1525	5	"F2"	163.4	21.733333	12.933333	30
1525	5	"F3"	106.766667	15.2	11.766667	30
1525	6	"C"	167.3	16.533333	14.666667	35
1525	6	"F1"	251.166667	22.033333	16.3	35
1525	6	"F2"	280.4	23.866667	16.6	35
1525	6	"F3"	202.533333	19.533333	15.233333	35
1526	1	"C"	3.033333	0	0	20
1526	1	"F1"	2.366667	0	0	20
1526	1	"F2"	2.3	0	0	20
1526	1	"F3"	1.766667	0	0	20
1526	4	"C"	15.733333	2.333333	6.833333	25
1526	4	"F1"	35.333333	8.666667	7.833333	25
1526	4	"F2"	30	7.266667	7.833333	25
1526	4	"F3"	22.233333	5.966667	7.2	25
1526	5	"C"	33.966667	3.7	8.966667	30
1526	5	"F1"	106.3	14.466667	10.9	30
1526	5	"F2"	91.333333	12.4	10.633333	30
1526	5	"F3"	70.933333	9.9	10.033333	30
1526	6	"C"	66.433333	6.266667	11.033333	35
1526	6	"F1"	207.533333	21.033333	14.933333	35
1526	6	"F2"	178.566667	17.733333	13.7	35
1526	6	"F3"	150.5	16.066667	13.833333	35
1527	1	"C"	2.733333	0	4.333333	13
1527	1	"F1"	2.583333	0	4.283333	13
1527	1	"F2"	3.8	0	3.5	13
1527	1	"F3"	2.6	0	5.133333	13
1527	4	"C"	16.066667	3.466667	4.5	18
1527	4	"F1"	38.933333	12.45	7.533333	18
1527	4	"F2"	40.4	12	7.2	18
1527	4	"F3"	35.066667	11.3	8.5	18
1527	5	"C"	49.033333	6.6	6.666667	23
1527	5	"F1"	130.333333	18.633333	11.533333	23
1527	5	"F2"	130.45	18.2	11.5	23
1527	5	"F3"	123.433333	17.7	11.566667	23
1527	6	"C"	81.766667	6.533333	8.2	28
1527	6	"F1"	226.566667	20.283333	14.816667	28
1527	6	"F2"	224.85	19.85	14.65	28
1527	6	"F3"	226.7	21.466667	14.966667	28
