"treatment"	"cutw"	"volume"
"unfert"	2.4	2.65
"unfert"	0.7	5.15
"unfert"	6.5	27.75
"unfert"	1.1	5.05
"unfert"	2	7.85
"unfert"	4.9	16.54
"unfert"	0.8	3.55
"unfert"	1.3	7.35
"unfert"	8.8	13.75
"unfert"	2	9.15
"unfert"	2.5	11.05
"unfert"	2.5	11.45
"unfert"	1.3	7.35
"unfert"	1	5.9
"unfert"	6.3	22.05
"unfert"	12.1	26.55
"unfert"	1.6	22.05
"unfert"	0.5	11.75
"unfert"	8.5	9.75
"unfert"	1.1	13.15
"unfert"	1.4	7.25
"unfert"	2.6	8.95
"unfert"	2.2	17.15
"unfert"	14.7	31.75
"unfert"	0.7	5.45
"unfert"	1.9	10.95
"unfert"	4.6	17.85
"unfert"	0.8	6.25
"unfert"	0.9	2.65
"unfert"	2.1	8.35
"unfert"	5.2	21.65
"unfert"	11.3	24.25
"unfert"	5.7	18.85
"unfert"	7	22.05
"unfert"	2.8	11.75
"unfert"	2	7.65
"unfert"	4.3	9.75
"unfert"	0.7	3.55
"unfert"	0.5	1.396788924396
"unfert"	1.9	5.4466380019844
"unfert"	19.7	35.4915444861088
"unfert"	3.1	5.7431412912807
"unfert"	6.8	1.8190768593885
"unfert"	1.5	4.717095365032
"unfert"	14.3	31.5708369687662
"unfert"	0.6	1.45
"unfert"	0.9	2.55
"unfert"	4.5	23.25
"unfert"	0.8	4.75
"unfert"	0.6	2.45
"unfert"	0.7	3.563805004
"unfert"	4.1	16.782873166
"unfert"	7.4	18.876056945
"unfert"	1.1	4.477610009
"unfert"	0.6	2.881061259
"unfert"	10.3	26.648446937
"unfert"	14.7	40.32096635
"unfert"	1.8	5.52765315
"unfert"	2.4	10.25
"unfert"	2.2	7.85
"unfert"	1.2	4.25
"unfert"	0.8	5.4
"unfert"	0.7	3.55
"unfert"	5.6	12.5
"unfert"	8.5	38.35
"unfert"	10.1	42.9
"unfert"	8.6	13.05
"unfert"	0.9	8.55
"unfert"	0.9	5.75
"unfert"	7.1	21.2
"unfert"	2.1	9.65
"unfert"	0.7	3.05
"unfert"	9.2	31.1
"fert"	4.6	62.6
"fert"	3.6	40.5
"fert"	2.1	41.4
"fert"	0.3	35.05
"fert"	0.1	44.1
"fert"	0.8	61.1
"fert"	7.3	58.7
"fert"	0.6	4.75
"fert"	14.2	63.7
"fert"	3.2	40
"fert"	0.9	27.3
"fert"	7.7	70.4
"fert"	0.6	37.35
"fert"	0.9	19.85
"fert"	2.1	24.95
"fert"	1.3	38.4
"fert"	1.4	55.3
"fert"	0.5	22.45
"fert"	2.2	38.15
"fert"	6	22.9
"fert"	2.7	42.5
"fert"	12.2	64.5
"fert"	0.8	31.3
"fert"	1.3	32.45
"fert"	7.6	53.3
"fert"	0.9	26.95
"fert"	0.7	20.55
"fert"	6.1	47.5
"fert"	1.9	41
"fert"	2	46.2
"fert"	1.2	35.6
"fert"	0.8	36.15
"fert"	6.8	49.5
"fert"	0.5	43.2
"fert"	7.2	49.8
"fert"	1.9	17.75
"fert"	2.4	8.5
"fert"	1.3	24.6
"fert"	3.2	52.7
"fert"	7.7	49.1
"fert"	1.3	32.85
"fert"	6.3	75.85
"fert"	6.5	70.75
"fert"	0.6	34
"fert"	5.6	68.6
"fert"	2.6	46.3
"fert"	1.1	41.6
"fert"	2.5	45.5
"fert"	4	29.5
"fert"	1.6	31.3
"fert"	1	49.1
"fert"	0.5	28.35
"fert"	5.1	59.7
"fert"	6.6	42.8
"fert"	12.8	83
"fert"	1.3	37.4
"fert"	4.6	59.1
"fert"	5.8	75.8
"fert"	10.2	80.4
"fert"	1.5	13.55
"fert"	0.7	35
"fert"	6.8	67.1
"fert"	3.9	48.8
"fert"	12.1	67.9
"fert"	0.7	43
"fert"	6.3	55.2
"fert"	3.7	46.9
"fert"	1.1	35.8
"fert"	2.1	42.95
"fert"	1	36.9
"fert"	1.7	58.85
"fert"	0.8	40.1
"fert"	6.2	64.8
"fert"	10.2	61.2
"fert"	3.5	52.8
"fert"	4.8	38.85
"fert"	1.2	54
