"site"	"plotno"	"treatment"	"area"	"standingvol"	"harvestvol"	"mortvol"	"paiha"	"dbh"
787	2	"D"	0.10002	214.441411717656	97.7024595080984	0	12.6654044191162	15.0356209150327
787	3	"C"	0.09999	178.603460346035	150.850185018502	0	10.6536528652865	18.1114942528736
787	5	"A"	0.10006	300.59344393364	77.2469518289027	5.9254447331601	15.5795272836298	14.8030612244898
787	7	"I"	0.09999	361.399139913991	0	10.3475347534753	16.035903590359	14.1005791505792
895	10	"D"	0.1	165.6773	89.2943	0	7.51409	19.86171875
895	12	"I"	0.1	268.5272	0	1.5415	10.32258	13.9064285714286
895	2	"A"	0.1	218.1375	31.3907	0	8.54316	17.427619047619
895	7	"C"	0.1	131.3609	99.9383	0	6.75166	19.4294642857143
900	4	"I"	0.1	215.7729	0	9.8177	8.768125	15.7414285714286
900	5	"A"	0.1	175.6038	30.8787	6.7381	7.8876125	17.9430107526882
900	6	"C"	0.1	116.3316	101.9181	9.4455	7.3549125	23.3914285714286
900	9	"D"	0.1	152.8497	76.9258	6.1292	7.9144125	18.8978873239437
910	1	"D"	0.16	116.6588125	52.5614375	5.64775	4.94168181818182	18.5645833333333
910	3	"I"	0.16	137.0225	0	15.5094375	5.13447727272727	14.6091160220994
910	6	"A"	0.16	147.2055	42.8531875	4.03475	5.86067613636364	19.2808823529412
910	7	"C"	0.16	118.5864375	61.9898125	0	5.20498863636364	22.2967213114754
913	2	"D"	0.1024	149.53837890625	62.43984375	0	6.20946568080357	18.7027397260274
913	3	"C"	0.1024	114.216796875	68.57685546875	0	4.77446986607143	20.0441176470588
913	4	"I"	0.1024	181.86396484375	0	0.11669921875	6.15455496651786	12.1150655021834
913	8	"A"	0.1024	175.3041015625	34.2896484375	0	6.43761858258929	16.2738738738739
918	2	"C"	0.1	125.1041	75.3328	0	5.16407692307692	19.5845454545455
918	4	"I"	0.1	250.8652	0	2.4237	7.16586923076923	12.242828685259
918	6	"A"	0.1	215.7886	31.3992	0.9844	6.93110769230769	14.7634228187919
918	7	"D"	0.1	146.5298	77.9905	3.2404	4.96333076923077	17.7913333333333
922	3	"D"	0.1	117.2814	70.1404	1.957	5.2249125	17.9895161290323
922	4	"A"	0.1	167.0726	28.6177	2.1164	7.136375	16.5321428571429
922	7	"C"	0.1	97.0121	71.5649	0	5.444975	16.7346774193548
922	9	"I"	0.1	198.2763	0	7.0662	7.66785	14.6192567567568
923	1	"I"	0.1	249.0507	0	3.5058	10.15035	12.9495798319328
923	2	"C"	0.1	122.5535	91.1589	0	6.147675	21.1857142857143
923	4	"A"	0.1	223.4417	31.2493	4.9872	9.16684166666666	15.3232026143791
923	8	"D"	0.1	153.4769	64.7558	0	6.94648333333333	16.5365
924	5	"C"	0.1	96.721	65.5345	12.7117	7.0329125	19.2934782608696
924	7	"A"	0.1	173.2288	32.1724	10.0122	10.2668375	16.8085714285714
924	8	"D"	0.1	134.0685	61.8357	10.6263	8.5542	18.5345588235294
924	9	"I"	0.1	185.2981	0	19.4689	9.57345	15.0266423357664
929	1	"C"	0.1	137.8656	108.2436	1.7683	5.70943333333333	21.2822222222222
929	11	"D"	0.1	154.6333	89.8151	5.8058	6.16585	20.4723214285714
929	2	"I"	0.1	245.2422	0	3.9504	7.53080833333333	16.0862068965517
929	4	"A"	0.1	193.3517	33.88	3.0554	7.3815	16.2380341880342
930	1	"A"	0.1	118.5724	26.5161	5.2577	6.28362857142857	14.7544554455446
930	2	"D"	0.1	83.0291	61.4385	2.6854	4.58005714285714	16.1540983606557
930	3	"I"	0.1	163.3444	0	8.4463	8.01215714285714	13.6932692307692
930	7	"C"	0.1	74.1838	68.2285	2.2219	4.54742857142857	17.4738636363636
940	10	"A"	0.105	159.271619047619	36.7740952380952	9.52933333333333	5.06989115646259	19.7034722222222
940	4	"D"	0.105	139.947238095238	59.2736190476191	0	5.23034693877551	19.9912698412698
940	8	"C"	0.105	92.5999047619048	32.8966666666667	0	2.86214965986395	21.5614285714286
940	9	"I"	0.105	189.038952380952	0	6.96647619047619	5.35210884353742	18.8415730337079
