"block"	"plotno"	"area"	"species"	"standingvol"	"harvestvol"	"paiha"	"dbh"
1	11	0.10006	"Norway spruce"	220.127223665801	58.3346991804917	16.4058564861083	13.4944444444444
1	14	0.10158	"Sitka spruce"	260.243551880291	60.6928529238039	20.8448316597755	15.0597701149425
1	15	0.10188	"Douglas fir"	190.936101295642	25.7120141342756	16.7134864546525	13.0277777777778
1	16	0.1039	"Grand fir"	239.486525505294	0	20.6266217516843	11.38934169279
2	21	0.1038	"Norway spruce"	237.868882466281	55.2080924855491	18.5563391136802	13.7870098039216
2	24	0.10378	"Sitka spruce"	281.363846598574	72.5218731932935	22.2994025823858	16.1771929824561
2	25	0.10541	"Douglas fir"	217.408120671663	55.93843088891	19.2877146380799	15.618253968254
2	26	0.1039	"Grand fir"	231.98729547642	0	19.1439846005775	11.6444805194805
3	31	0.11166	"Norway spruce"	233.886172308795	54.5002686727566	16.9320437041017	14.1170050761421
3	34	0.10045	"Sitka spruce"	294.826082628173	96.2242906918865	23.2408362369338	16.4944444444444
3	35	0.1043	"Douglas fir"	253.407478427613	30.9886864813039	21.5736720997124	13.7089887640449
3	36	0.10334	"Grand fir"	270.620379330366	0	21.0843042384362	12.2721682847896
